"Package","Installed","Version","Function","Audit_Date"
"ForeComp",TRUE,"1.0.0","dm.test.ewc.fb","2026-08-23"
"ForeComp",TRUE,"1.0.0","dm.test.im","2026-08-23"
"ForeComp",TRUE,"1.0.0","dm.test.r","2026-08-23"
"ForeComp",TRUE,"1.0.0","dm.test.r.m","2026-08-23"
"ForeComp",TRUE,"1.0.0","dm.test.wpe.fb","2026-08-23"
"ForeComp",TRUE,"1.0.0","loss.diff.p","2026-08-23"
"ForeComp",TRUE,"1.0.0","Plot_Tradeoff","2026-08-23"
"GAS",TRUE,"0.3.4.1","BacktestDensity","2026-08-23"
"GAS",TRUE,"0.3.4.1","BacktestVaR","2026-08-23"
"GAS",TRUE,"0.3.4.1","build_vR","2026-08-23"
"GAS",TRUE,"0.3.4.1","coef","2026-08-23"
"GAS",TRUE,"0.3.4.1","ConfidenceBands","2026-08-23"
"GAS",TRUE,"0.3.4.1","convergence","2026-08-23"
"GAS",TRUE,"0.3.4.1","ddist_Multi","2026-08-23"
"GAS",TRUE,"0.3.4.1","ddist_Uni","2026-08-23"
"GAS",TRUE,"0.3.4.1","DistInfo","2026-08-23"
"GAS",TRUE,"0.3.4.1","DistLabels","2026-08-23"
"GAS",TRUE,"0.3.4.1","DistName","2026-08-23"
"GAS",TRUE,"0.3.4.1","DistParameters","2026-08-23"
"GAS",TRUE,"0.3.4.1","DistScalingType","2026-08-23"
"GAS",TRUE,"0.3.4.1","DistType","2026-08-23"
"GAS",TRUE,"0.3.4.1","ES","2026-08-23"
"GAS",TRUE,"0.3.4.1","fn.optim","2026-08-23"
"GAS",TRUE,"0.3.4.1","fn.solnp","2026-08-23"
"GAS",TRUE,"0.3.4.1","FZLoss","2026-08-23"
"GAS",TRUE,"0.3.4.1","getFilteredParameters","2026-08-23"
"GAS",TRUE,"0.3.4.1","getForecast","2026-08-23"
"GAS",TRUE,"0.3.4.1","getMoments","2026-08-23"
"GAS",TRUE,"0.3.4.1","getObs","2026-08-23"
"GAS",TRUE,"0.3.4.1","IM_Uni","2026-08-23"
"GAS",TRUE,"0.3.4.1","LogScore","2026-08-23"
"GAS",TRUE,"0.3.4.1","LowerA","2026-08-23"
"GAS",TRUE,"0.3.4.1","LowerB","2026-08-23"
"GAS",TRUE,"0.3.4.1","LowerNu","2026-08-23"
"GAS",TRUE,"0.3.4.1","MapR_C","2026-08-23"
"GAS",TRUE,"0.3.4.1","mdist_Uni","2026-08-23"
"GAS",TRUE,"0.3.4.1","mGASMultiForcast","2026-08-23"
"GAS",TRUE,"0.3.4.1","MultiGASFit","2026-08-23"
"GAS",TRUE,"0.3.4.1","MultiGASFor","2026-08-23"
"GAS",TRUE,"0.3.4.1","MultiGASRoll","2026-08-23"
"GAS",TRUE,"0.3.4.1","MultiGASSim","2026-08-23"
"GAS",TRUE,"0.3.4.1","MultiGASSpec","2026-08-23"
"GAS",TRUE,"0.3.4.1","MultiMapParameters","2026-08-23"
"GAS",TRUE,"0.3.4.1","MultiUnmapParameters","2026-08-23"
"GAS",TRUE,"0.3.4.1","NumberParameters","2026-08-23"
"GAS",TRUE,"0.3.4.1","pdist_Uni","2026-08-23"
"GAS",TRUE,"0.3.4.1","pit","2026-08-23"
"GAS",TRUE,"0.3.4.1","PIT_test","2026-08-23"
"GAS",TRUE,"0.3.4.1","plot","2026-08-23"
"GAS",TRUE,"0.3.4.1","qdist_Uni","2026-08-23"
"GAS",TRUE,"0.3.4.1","quantile","2026-08-23"
"GAS",TRUE,"0.3.4.1","Quantiles","2026-08-23"
"GAS",TRUE,"0.3.4.1","rdist_Multi","2026-08-23"
"GAS",TRUE,"0.3.4.1","rdist_Uni","2026-08-23"
"GAS",TRUE,"0.3.4.1","residuals","2026-08-23"
"GAS",TRUE,"0.3.4.1","Score_Multi","2026-08-23"
"GAS",TRUE,"0.3.4.1","Score_Uni","2026-08-23"
"GAS",TRUE,"0.3.4.1","show","2026-08-23"
"GAS",TRUE,"0.3.4.1","uGASMultiForcast","2026-08-23"
"GAS",TRUE,"0.3.4.1","UniGASFit","2026-08-23"
"GAS",TRUE,"0.3.4.1","UniGASFor","2026-08-23"
"GAS",TRUE,"0.3.4.1","UniGASRoll","2026-08-23"
"GAS",TRUE,"0.3.4.1","UniGASSim","2026-08-23"
"GAS",TRUE,"0.3.4.1","UniGASSpec","2026-08-23"
"GAS",TRUE,"0.3.4.1","UniMapParameters","2026-08-23"
"GAS",TRUE,"0.3.4.1","UniUnmapParameters","2026-08-23"
"GAS",TRUE,"0.3.4.1","UnMapR_C","2026-08-23"
"GAS",TRUE,"0.3.4.1","UpperA","2026-08-23"
"GAS",TRUE,"0.3.4.1","UpperB","2026-08-23"
"GAS",TRUE,"0.3.4.1","UpperNu","2026-08-23"
"ExactVaRTest",TRUE,"0.1.3","backtest_all","2026-08-23"
"ExactVaRTest",TRUE,"0.1.3","backtest_lr","2026-08-23"
"ExactVaRTest",TRUE,"0.1.3","lr_cc_dist","2026-08-23"
"ExactVaRTest",TRUE,"0.1.3","lr_cc_stat","2026-08-23"
"ExactVaRTest",TRUE,"0.1.3","lr_ind_dist","2026-08-23"
"ExactVaRTest",TRUE,"0.1.3","lr_ind_stat","2026-08-23"
"ExactVaRTest",TRUE,"0.1.3","lr_uc_dist","2026-08-23"
"ExactVaRTest",TRUE,"0.1.3","lr_uc_stat","2026-08-23"
"ExactVaRTest",TRUE,"0.1.3","pval_lr_cc","2026-08-23"
"ExactVaRTest",TRUE,"0.1.3","pval_lr_ind","2026-08-23"
"ExactVaRTest",TRUE,"0.1.3","pval_lr_uc","2026-08-23"
