"Scenario","P","phi","correlated","heteroskedastic","block_length","Alternative_Means","Kupiec_SD_Multiplier","CRPS_Samples","Test","Rejection_Rate","MC_SE","N_Valid_Draws","Density_Reference","Density_Design"
"Alternative",150,0.3,TRUE,TRUE,5,"0.3;0.3;0.15;0;0",0.6,500,"CDF_RC",0.008,0.0039839678713564,500,,""
"Alternative",150,0.3,TRUE,TRUE,5,"0.3;0.3;0.15;0;0",0.6,500,"DM_mean_rejection_rate",0.282,0.0201234191925726,500,,""
"Alternative",150,0.3,TRUE,TRUE,5,"0.3;0.3;0.15;0;0",0.6,500,"Kupiec_mean_rejection_rate",0.8676,0.0151571923521475,500,,""
"Alternative",150,0.6,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"WRC",0.538,0.0222960086114085,500,,""
"Alternative",150,0.6,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"SPA",0.548,0.0222574032627348,500,,""
"Alternative",150,0.6,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"CPA",0.494,0.022359069748091,500,,""
"Alternative",150,0.6,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"KLIC",0.994,0.00345369367489359,500,,"comparative_gaussian_forecasts"
"Alternative",150,0.6,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"ZP",0.138,0.01542439626047,500,,"comparative_gaussian_forecasts"
"Alternative",150,0.6,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"CDF_RC",0.006,0.00345369367489359,500,,""
"Alternative",150,0.6,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"DM_mean_rejection_rate",0.2576,0.0195572104350288,500,,""
"Alternative",150,0.6,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"Kupiec_mean_rejection_rate",0.8036,0.0177666564102535,500,,""
"Alternative",250,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"WRC",0.964,0.0083311463797007,500,,""
"Alternative",250,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"SPA",0.964,0.0083311463797007,500,,""
"Alternative",250,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"CPA",0.906,0.0130509769749241,500,,""
"Alternative",250,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"KLIC",1,0,500,,"comparative_gaussian_forecasts"
"Alternative",250,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"ZP",0.336,0.0211236360506424,500,,"comparative_gaussian_forecasts"
"Alternative",250,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"CDF_RC",0.004,0.00282276460230038,500,,""
"Alternative",250,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"DM_mean_rejection_rate",0.4864,0.0223524065818426,500,,""
"Alternative",250,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"Kupiec_mean_rejection_rate",0.9492,0.00982032178698844,500,,""
